featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,46,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,46,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,47,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,47,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,48,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,48,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,49,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,49,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionKsTest,50,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
featureSelectionRocCurve,50,No reduction,None,naiveBayesClassifier,40430,30274,10,25,0.9995052234269639,0.9997527200791295,0.9993820294153998,0.9995673403795043
